post_id,post_date,platform,content_type,campaign,category,posting_hour,followers,impressions,reach,likes,comments,shares,saves
POST00032,2025-01-04 21:00:00,Instagram,Image,Special Campaign,Promotional,4,36494,56144,34712,648.0,25,285,556
POST00033,2025-01-05 00:00:00,Instagram,Image,Community Campaign,Brand,20,434787,412766,274148,17080.0,998,879,4986
POST00034,2025-01-05 03:00:00,LinkedIn,Carousel,Special Campaign,Event,23,316630,149113,129059,4160.0,142,1261,2725
POST00035,2025-01-05 06:00:00,LinkedIn,Reel,Community Campaign,Brand,1,239508,228661,200834,12442.0,256,2931,4219
POST00036,2025-01-05 09:00:00,Facebook,Image,Educational Series,Entertainment,17,81635,77287,55542,2327.0,77,668,259
POST00037,2025-01-05 12:00:00,Instagram,Carousel,Educational Series,Event,23,151197,208339,136374,10365.0,415,847,2131
POST00038,2025-01-05 15:00:00,Instagram,Text,Community Campaign,Community,8,68814,48233,38856,2271.0,113,341,711
POST00039,2025-01-05 18:00:00,Facebook,Carousel,Community Campaign,Brand,9,143141,160710,131476,4874.0,159,1363,642
POST00040,2025-01-05 21:00:00,YouTube,Text,Product Launch,Community,17,432534,403452,337049,6078.0,113,2157,2660
POST00041,2025-01-06 00:00:00,instagram,Video,Product Launch,Education,3,82363,79721,44713,3167.0,61,748,523
POST00042,2025-01-06 03:00:00,YouTube,Image,Festival Campaign,Event,7,63162,41404,22913,1034.0,56,207,515
POST00043,2025-01-06 06:00:00,Instagram,Reel,Special Campaign,Brand,17,267364,436767,294819,20674.0,450,2590,6401
POST00044,2025-01-06 09:00:00,LinkedIn,Carousel,Seasonal Campaign,Education,19,147083,143248,86432,2067.0,95,1022,1746
POST00045,2025-01-06 12:00:00,Instagram,Carousel,Special Campaign,Brand,16,27590,50820,42269,2952.0,69,642,1047
POST00046,2025-01-06 15:00:00,Facebook,Carousel,Event Promotion,Entertainment,15,316994,276172,203399,7248.0,333,2976,1696
POST00047,2025-01-06 18:00:00,Instagram,Image,Special Campaign,Promotional,17,425350,581085,487455,17590.0,244,6468,6479
POST00048,2025-01-06 21:00:00,YouTube,Image,Seasonal Campaign,Community,6,412235,251609,153964,4669.0,95,448,1975
POST00049,2025-01-07 00:00:00,YouTube,Reel,Product Launch,Brand,0,307374,610795,470023,46900.0,1427,4744,8430
POST00050,2025-01-07 03:00:00,Instagram,Image,Festival Campaign,Event,0,297202,363702,273889,7425.0,265,1879,5944
POST00051,2025-01-07 06:00:00,LinkedIn,Reel,Seasonal Campaign,Brand,17,99837,117227,78440,6520.0,180,712,1083
POST00052,2025-01-07 09:00:00,Facebook,Video,Special Campaign,Brand,3,123397,85617,62584,2609.0,100,324,864
POST00053,2025-01-07 12:00:00,LinkedIn,Reel,Brand Awareness,Brand,22,309183,173503,131195,7759.0,203,2186,2149
POST00054,2025-01-07 15:00:00,LinkedIn,Reel,Educational Series,Brand,19,272903,340994,293705,30455.0,1337,4104,5678
POST00055,2025-01-07 18:00:00,YouTube,Image,Seasonal Campaign,Event,20,216892,132496,75452,1767.0,62,670,560
POST00056,2025-01-07 21:00:00,LinkedIn,Carousel,Event Promotion,Event,19,320478,168781,141469,10826.0,489,1159,3418
POST00057,2025-01-08 00:00:00,Instagram,Image,Festival Campaign,Brand,3,63525,47167,42122,2910.0,91,267,211
POST00058,2025-01-08 03:00:00,Instagram,Reel,Seasonal Campaign,Promotional,5,146681,136777,110258,8871.0,477,1752,386
POST00059,2025-01-08 06:00:00,Instagram,Image,Community Campaign,Brand,2,104194,126639,102333,1897.0,55,814,1114
POST00060,2025-01-08 09:00:00,Instagram,Reel,Special Campaign,Community,5,179515,258201,161708,14557.0,369,2081,2980
POST00061,2025-01-08 12:00:00,Instagram,Text,Brand Awareness,Community,12,286116,197273,144616,7910.0,299,357,3545
POST00062,2025-01-08 15:00:00,Instagram,Text,Educational Series,Event,22,84936,71913,57320,3390.0,120,349,1348
POST00063,2025-01-08 18:00:00,Facebook,Image,Brand Awareness,Community,6,373847,407027,309665,19608.0,704,1029,5619
POST00064,2025-01-08 21:00:00,Instagram,Reel,Festival Campaign,Community,23,492431,1096271,750722,45610.0,2271,2634,9462
POST00065,2025-01-09 00:00:00,Instagram,Carousel,Special Campaign,Entertainment,3,129877,161595,142048,9145.0,360,1634,2288
POST00066,2025-01-09 03:00:00,YouTube,Reel,Product Launch,Brand,0,311663,475428,347012,22153.0,1202,2513,8436
POST00067,2025-01-09 06:00:00,Instagram,Image,Educational Series,Brand,5,384561,314484,279719,10367.0,424,3661,2473
POST00068,2025-01-09 09:00:00,Facebook,Reel,Special Campaign,Brand,23,493130,584809,437060,32718.0,362,5608,5910
POST00069,2025-01-09 12:00:00,Instagram,Text,Brand Awareness,Brand,4,358008,402153,332855,16523.0,884,2593,6072
POST00070,2025-01-09 15:00:00,LinkedIn,Reel,Product Launch,Education,12,75881,78295,63396,4792.0,249,375,204
POST00071,2025-01-09 18:00:00,Facebook,Image,Event Promotion,Brand,18,306876,199370,155765,9756.0,121,515,1773
POST00072,2025-01-09 21:00:00,Instagram,Carousel,Festival Campaign,Event,3,168745,230060,127697,4100.0,66,1183,1978
POST00073,2025-01-10 00:00:00,Instagram,Image,Festival Campaign,Event,23,95909,149847,86476,3301.0,124,1092,1973
POST00074,2025-01-10 03:00:00,Facebook,Reel,Educational Series,Education,5,268271,435656,328275,16539.0,200,1162,8149
POST00075,2025-01-10 06:00:00,Facebook,Text,Brand Awareness,Brand,12,25720,22035,19151,454.0,13,123,291
POST00076,2025-01-10 09:00:00,Facebook,Image,Event Promotion,Promotional,4,341259,214559,163150,6841.0,402,672,3879
POST00077,2025-01-10 12:00:00,Facebook,Carousel,Community Campaign,Brand,12,397987,278898,176430,14240.0,265,2253,914
POST00078,2025-01-10 15:00:00,Instagram,Reel,Educational Series,Event,9,71940,150219,99456,6759.0,137,1404,1832
POST00079,2025-01-10 18:00:00,Instagram,Image,Special Campaign,Entertainment,2,418369,307845,236457,7913.0,346,694,2793
POST00080,2025-01-10 21:00:00,Instagram,Image,Community Campaign,Community,22,91762,109569,83159,3086.0,37,749,1623
POST00081,2025-01-11 00:00:00,LinkedIn,Reel,Educational Series,Entertainment,12,219584,214420,189653,14000.0,714,3645,4189
POST00082,2025-01-11 03:00:00,Facebook,Reel,Brand Awareness,Promotional,11,189091,214153,157440,8425.0,168,1814,658
POST00083,2025-01-11 06:00:00,Instagram,Video,Event Promotion,Brand,3,104833,144097,97158,6097.0,223,665,2291
POST00084,2025-01-11 09:00:00,Instagram,Reel,Brand Awareness,Education,9,429803,938656,688736,32635.0,732,3561,3098
POST00085,2025-01-11 12:00:00,Instagram,Reel,Festival Campaign,Brand,2,300350,275080,226991,12026.0,516,4386,4443
POST00086,2025-01-11 15:00:00,Instagram,Image,Community Campaign,Promotional,16,373615,517656,382613,21468.0,844,3212,1729
POST00087,2025-01-11 18:00:00,Facebook,Video,Product Launch,Promotional,8,377313,544015,361290,23878.0,1368,2978,7932
POST00088,2025-01-11 21:00:00,Facebook,Reel,Seasonal Campaign,Community,0,292880,494430,330535,11004.0,355,2056,2482
POST00089,2025-01-12 00:00:00,LinkedIn,Image,Special Campaign,Promotional,17,389081,266859,217459,15342.0,824,2808,2729
POST00090,2025-01-12 03:00:00,YouTube,Reel,Festival Campaign,Entertainment,8,158043,226016,129565,3867.0,150,1709,3047
POST00091,2025-01-12 06:00:00,Instagram,Reel,Festival Campaign,Community,20,338721,772154,498938,16200.0,902,1783,10191
POST00092,2025-01-12 09:00:00,Facebook,Reel,Community Campaign,Brand,19,488259,547527,330467,26671.0,655,1191,6704
POST00093,2025-01-12 12:00:00,Facebook,Video,Special Campaign,Brand,8,277989,301293,265329,19893.0,745,4525,5251
POST00094,2025-01-12 15:00:00,YouTube,Reel,Educational Series,Education,1,438940,522392,303788,8347.0,246,4435,4717
POST00095,2025-01-12 18:00:00,Facebook,Reel,Festival Campaign,Promotional,18,151003,93924,76582,5830.0,77,332,1832
POST00096,2025-01-12 21:00:00,YouTube,Image,Seasonal Campaign,Promotional,15,369846,341635,263280,5211.0,201,2395,5606
POST00097,2025-01-13 00:00:00,YouTube,Video,Event Promotion,Event,2,360838,550177,424451,39548.0,1965,3795,5384
POST00098,2025-01-13 03:00:00,YouTube,Reel,Festival Campaign,Community,15,273686,465710,380578,30560.0,1155,6062,7358
POST00099,2025-01-13 06:00:00,Instagram,Image,Event Promotion,Event,20,373454,204290,140994,3958.0,94,705,3518
POST00100,2025-01-13 09:00:00,Instagram,Reel,Brand Awareness,Community,12,75155,152537,105290,4035.0,93,954,2333
POST00101,2025-01-13 12:00:00,Instagram,Image,Special Campaign,Entertainment,2,148491,159153,103616,5052.0,110,389,313
POST00102,2025-01-13 15:00:00,Facebook,Image,Educational Series,Community,9,162180,134091,101803,5315.0,313,483,1958
POST00103,2025-01-13 18:00:00,Instagram,Image,Event Promotion,Brand,21,97613,154100,134904,8483.0,254,541,3069
POST00104,2025-01-13 21:00:00,YouTube,Reel,Festival Campaign,Education,17,482927,541737,473149,45639.0,1179,1424,4831
POST00105,2025-01-14 00:00:00,LinkedIn,Reel,Educational Series,Community,5,76938,100951,80360,4549.0,140,271,1969
POST00106,2025-01-14 03:00:00,Instagram,Reel,Seasonal Campaign,Community,5,121163,203148,176162,16178.0,255,2945,2083
POST00107,2025-01-14 06:00:00,YouTube,Image,Educational Series,Community,17,350642,416839,369832,17488.0,346,4143,4536
POST00108,2025-01-14 09:00:00,Facebook,Reel,Event Promotion,Education,5,492368,528727,437937,27461.0,973,2180,2863
POST00109,2025-01-14 12:00:00,Instagram,Video,Special Campaign,Promotional,5,248861,279236,193438,14377.0,718,2479,991
POST00110,2025-01-14 15:00:00,Instagram,Text,Event Promotion,Education,21,37751,35543,25559,502.0,27,224,378
POST00111,2025-01-14 18:00:00,Instagram,Text,Product Launch,Promotional,12,393305,309706,271283,7309.0,389,542,4411
POST00112,2025-01-14 21:00:00,Instagram,Video,Product Launch,Brand,13,221818,230910,181149,15000.0,858,684,2005
POST00113,2025-01-15 00:00:00,LinkedIn,Carousel,Educational Series,Education,20,314534,353837,296247,15629.0,254,2898,4842
POST00114,2025-01-15 03:00:00,Facebook,Carousel,Community Campaign,Promotional,6,383357,353516,208800,16329.0,196,1504,2439
POST00115,2025-01-15 06:00:00,Facebook,Reel,Special Campaign,Brand,12,128712,202896,125362,4126.0,63,1807,2770
POST00116,2025-01-15 09:00:00,LinkedIn,Carousel,Community Campaign,Brand,14,429209,351173,235439,9592.0,384,2286,5646
POST00117,2025-01-15 12:00:00,Facebook,Image,Product Launch,Promotional,11,80403,68825,42388,1576.0,59,91,680
POST00118,2025-01-15 15:00:00,Instagram,Image,Festival Campaign,Promotional,20,309003,499009,432771,17668.0,769,4240,9317
POST00119,2025-01-15 18:00:00,LinkedIn,Video,Brand Awareness,Entertainment,0,434094,604885,378604,35986.0,1027,2113,8246
POST00120,2025-01-15 21:00:00,YouTube,Reel,Educational Series,Brand,2,493675,544778,405867,20387.0,603,3199,7590
POST00121,2025-01-16 00:00:00,Facebook,Reel,Brand Awareness,Promotional,17,119124,190756,110621,7351.0,274,1664,799
POST00122,2025-01-16 03:00:00,LinkedIn,Text,Product Launch,Brand,21,145940,77967,47110,1843.0,25,424,301
POST00123,2025-01-16 06:00:00,Instagram,Reel,Event Promotion,Education,7,309244,275582,175434,15108.0,755,1481,4075
POST00124,2025-01-16 09:00:00,Instagram,Image,Seasonal Campaign,Event,1,213356,247886,221613,10186.0,571,630,1957
POST00125,2025-01-16 12:00:00,Instagram,Text,Educational Series,Event,3,473192,629036,521453,22035.0,647,4695,4390
POST00126,2025-01-16 15:00:00,YouTube,Carousel,Product Launch,Community,17,453239,771790,606429,41515.0,1950,8476,4035
POST00127,2025-01-16 18:00:00,Facebook,Image,Special Campaign,Promotional,12,399494,202718,176504,4140.0,155,2309,2577
POST00128,2025-01-16 21:00:00,LinkedIn,Reel,Festival Campaign,Promotional,14,460925,609382,539103,54530.0,1188,4297,9646
POST00129,2025-01-17 00:00:00,Instagram,Reel,Seasonal Campaign,Brand,1,403936,820967,581860,53537.0,716,2730,10401
POST00130,2025-01-17 03:00:00,YouTube,Video,Educational Series,Community,9,249179,285744,189931,9874.0,220,3234,1660
POST00131,2025-01-17 06:00:00,YouTube,Image,Educational Series,Promotional,1,489769,561769,370969,21269.0,855,2402,1886
POST00132,2025-01-17 09:00:00,Instagram,Image,Special Campaign,Brand,20,336668,359296,202105,11957.0,143,584,1985
POST00133,2025-01-17 12:00:00,Instagram,Reel,Community Campaign,Promotional,11,122757,139392,90308,8337.0,431,996,1271
POST00134,2025-01-17 15:00:00,Instagram,Reel,Event Promotion,Brand,4,105049,206691,139364,5670.0,331,811,2295
POST00135,2025-01-17 18:00:00,LinkedIn,Text,Educational Series,Promotional,11,64974,29735,16738,781.0,11,83,149
POST00136,2025-01-17 21:00:00,Instagram,Image,Event Promotion,Entertainment,22,197550,179312,154013,3049.0,68,854,1082
POST00137,2025-01-18 00:00:00,YouTube,Carousel,Product Launch,Brand,0,335912,267712,226685,,280,3530,4877
POST00138,2025-01-18 03:00:00,Facebook,Reel,Festival Campaign,Entertainment,1,231468,330200,210675,18230.0,917,2824,4608
POST00139,2025-01-18 06:00:00,Instagram,Carousel,Seasonal Campaign,Entertainment,15,486838,588096,488646,35289.0,963,4306,4475
POST00140,2025-01-18 09:00:00,LinkedIn,Text,Seasonal Campaign,Entertainment,21,330688,187177,155108,6461.0,231,1009,2376
POST00141,2025-01-18 12:00:00,LinkedIn,Image,Festival Campaign,Entertainment,1,431266,342979,228854,11307.0,617,2029,2900
POST00142,2025-01-18 15:00:00,Instagram,Reel,Educational Series,Education,15,170856,175183,139090,11747.0,343,2413,851
POST00143,2025-01-18 18:00:00,YouTube,Image,Educational Series,Community,19,31774,43980,28650,1917.0,26,100,678
POST00144,2025-01-18 21:00:00,Instagram,Video,Product Launch,Event,15,186040,258550,148561,8069.0,482,1746,477
POST00145,2025-01-19 00:00:00,Instagram,Image,Community Campaign,Education,5,471452,441207,320615,7758.0,147,1785,2284
POST00146,2025-01-19 03:00:00,Instagram,Video,Community Campaign,Promotional,12,97678,88147,62003,5233.0,65,701,657
POST00147,2025-01-19 06:00:00,Facebook,Carousel,Community Campaign,Promotional,11,332279,209740,125498,5336.0,162,1150,2741
POST00148,2025-01-19 09:00:00,YouTube,Video,Event Promotion,Community,22,436223,817863,590246,19851.0,319,1692,12011
POST00149,2025-01-19 12:00:00,Instagram,Carousel,Community Campaign,Event,9,45158,54430,48022,2867.0,168,482,756
POST00150,2025-01-19 15:00:00,Instagram,Reel,Festival Campaign,Event,4,91587,174620,140741,10005.0,290,2052,2574
POST00151,2025-01-19 18:00:00,LinkedIn,Reel,Seasonal Campaign,Event,7,417331,251958,203734,12833.0,658,1376,2139
POST00152,2025-01-19 21:00:00,Instagram,Reel,Seasonal Campaign,Entertainment,5,497776,887935,723793,67359.0,1268,3189,17148
POST00153,2025-01-20 00:00:00,Instagram,Text,Event Promotion,Education,4,79317,101475,82257,2241.0,37,293,295
POST00154,2025-01-20 03:00:00,YouTube,Video,Product Launch,Promotional,19,26371,27846,15509,386.0,16,191,80
POST00155,2025-01-20 06:00:00,LinkedIn,Carousel,Festival Campaign,Education,21,376370,341171,298061,12333.0,684,2533,6963
POST00156,2025-01-20 09:00:00,Instagram,Reel,Seasonal Campaign,Education,5,321499,722325,607148,16245.0,255,10457,14444
POST00157,2025-01-20 12:00:00,Facebook,Reel,Festival Campaign,Education,21,380100,542253,350351,23964.0,945,2598,4832
POST00158,2025-01-20 15:00:00,Facebook,Video,Seasonal Campaign,Event,16,194447,118089,87794,4498.0,64,710,1376
POST00159,2025-01-20 18:00:00,Instagram,Image,Brand Awareness,Community,5,133538,126732,96981,6008.0,304,773,2216
POST00160,2025-01-20 21:00:00,Facebook,Reel,Product Launch,Community,16,487832,334337,199325,17582.0,975,2067,4340
POST00161,2025-01-21 00:00:00,Instagram,Carousel,Product Launch,Event,4,218491,374768,239434,11584.0,480,2293,5258
POST00162,2025-01-21 03:00:00,Facebook,Reel,Special Campaign,Promotional,22,221429,290591,162189,6955.0,308,1277,1813
POST00163,2025-01-21 06:00:00,Facebook,Reel,Brand Awareness,Promotional,16,122126,208098,177379,10456.0,133,960,3773
POST00164,2025-01-21 09:00:00,YouTube,Image,Event Promotion,Promotional,16,28338,14581,8146,428.0,5,91,36
POST00165,2025-01-21 12:00:00,Instagram,Reel,Seasonal Campaign,Community,12,173079,249236,164880,6733.0,127,538,2261
POST00166,2025-01-21 15:00:00,Facebook,Text,Special Campaign,Community,21,284621,116109,67039,3337.0,79,342,551
POST00167,2025-01-21 18:00:00,Instagram,Reel,Seasonal Campaign,Education,6,229743,304814,251011,12998.0,623,1023,950
POST00168,2025-01-21 21:00:00,Instagram,Reel,Seasonal Campaign,Event,21,324567,335129,292816,28903.0,918,4405,4854
POST00169,2025-01-22 00:00:00,Instagram,Reel,Community Campaign,Entertainment,20,358117,463016,345866,22801.0,317,3035,1617
POST00170,2025-01-22 03:00:00,YouTube,Video,Community Campaign,Education,5,461316,803347,481083,40888.0,2152,1380,2714
POST00171,2025-01-22 06:00:00,Facebook,Image,Community Campaign,Brand,13,488254,261297,194759,9982.0,595,523,934
POST00172,2025-01-22 09:00:00,Instagram,Image,Community Campaign,Community,15,311380,327434,268371,12867.0,421,1106,6561
POST00173,2025-01-22 12:00:00,YouTube,Reel,Community Campaign,Education,2,151440,307856,246729,19542.0,695,3922,953
POST00174,2025-01-22 15:00:00,Instagram,Reel,Brand Awareness,Event,8,307983,720093,582988,52058.0,724,9389,5208
POST00175,2025-01-22 18:00:00,Facebook,Image,Product Launch,Brand,14,137537,83625,54164,2860.0,83,729,939
POST00176,2025-01-22 21:00:00,Instagram,Video,Event Promotion,Education,20,131902,272670,157005,12780.0,365,966,3315
POST00177,2025-01-23 00:00:00,Facebook,Video,Festival Campaign,Event,17,383195,315101,189734,7155.0,417,634,3107
POST00178,2025-01-23 03:00:00,Instagram,Reel,Community Campaign,Event,9,486314,693048,612950,29204.0,1256,4526,15006
POST00179,2025-01-23 06:00:00,LinkedIn,Image,Brand Awareness,Community,9,27139,26924,20589,626.0,30,80,214
POST00180,2025-01-23 09:00:00,Instagram,Text,Special Campaign,Entertainment,22,178213,206291,166015,8454.0,138,1398,2221
POST00181,2025-01-23 12:00:00,Instagram,Image,Special Campaign,Education,2,390458,572445,494977,11211.0,345,6504,10428
POST00182,2025-01-23 15:00:00,Instagram,Video,Seasonal Campaign,Event,0,346406,648600,550313,44741.0,875,3664,9904
POST00183,2025-01-23 18:00:00,LinkedIn,Reel,Event Promotion,Promotional,2,157776,120613,75556,4257.0,225,616,582
POST00184,2025-01-23 21:00:00,LinkedIn,Text,Special Campaign,Event,4,152959,97171,55418,1029.0,18,272,774
POST00185,2025-01-24 00:00:00,Instagram,Video,Event Promotion,Entertainment,6,294119,374931,327612,17874.0,570,5165,8017
POST00186,2025-01-24 03:00:00,Facebook,Text,Event Promotion,Event,2,151616,98217,87765,2503.0,31,626,1929
POST00187,2025-01-24 06:00:00,Facebook,Carousel,Brand Awareness,Community,3,104984,64878,48565,2830.0,118,747,350
POST00188,2025-01-24 09:00:00,YouTube,Image,Festival Campaign,Education,16,108366,87517,75346,3278.0,111,688,524
POST00189,2025-01-24 12:00:00,YouTube,Text,Community Campaign,Community,2,197395,221094,139540,3956.0,138,1169,2961
POST00190,2025-01-24 15:00:00,Instagram,Reel,Event Promotion,Education,22,140491,306297,180367,16820.0,253,740,1330
POST00191,2025-01-24 18:00:00,Instagram,Reel,Brand Awareness,Brand,3,70382,121890,88362,5101.0,182,1650,1145
POST00192,2025-01-24 21:00:00,LinkedIn,Carousel,Seasonal Campaign,Education,1,306070,256653,214026,10841.0,414,2284,1493
POST00193,2025-01-25 00:00:00,LinkedIn,Video,Product Launch,Brand,13,116538,135688,105718,8981.0,522,1111,351
POST00194,2025-01-25 03:00:00,Facebook,Text,Seasonal Campaign,Community,4,133117,99634,77023,1464.0,17,406,1714
POST00195,2025-01-25 06:00:00,Instagram,Reel,Brand Awareness,Promotional,20,295477,683891,380319,21454.0,1204,1484,7658
POST00196,2025-01-25 09:00:00,Instagram,Video,Brand Awareness,Entertainment,1,299086,297210,196492,10415.0,353,880,2623
POST00197,2025-01-25 12:00:00,Facebook,Carousel,Brand Awareness,Promotional,14,231292,207433,182297,9522.0,195,411,1186
POST00198,2025-01-25 15:00:00,LinkedIn,Reel,Event Promotion,Brand,10,435663,642589,383622,13149.0,569,7472,7956
POST00199,2025-01-25 18:00:00,LinkedIn,Image,Brand Awareness,Event,21,94397,96153,77328,1820.0,65,850,843
POST00200,2025-01-25 21:00:00,Facebook,Reel,Product Launch,Event,9,175905,204851,167109,9772.0,208,2686,2934
POST00201,2025-01-26 00:00:00,Facebook,Reel,Event Promotion,Promotional,19,234062,173844,140203,4006.0,165,2094,1397
POST00202,2025-01-26 03:00:00,Instagram,Text,Seasonal Campaign,Event,0,479802,567827,508914,13473.0,453,3165,6366
POST00203,2025-01-26 06:00:00,Instagram,Carousel,Product Launch,Brand,18,499174,682524,473141,15932.0,708,1563,6993
POST00204,2025-01-26 09:00:00,LinkedIn,Carousel,Special Campaign,Community,13,303674,324767,256165,13277.0,590,790,5062
POST00205,2025-01-26 12:00:00,Facebook,Text,Educational Series,Entertainment,22,67060,43569,26916,417.0,14,280,573
POST00206,2025-01-26 15:00:00,Instagram,Image,Seasonal Campaign,Education,21,101292,77001,53122,2894.0,85,95,677
POST00207,2025-01-26 18:00:00,Instagram,Video,Brand Awareness,Brand,13,220630,166475,120202,10289.0,135,1599,976
POST00208,2025-01-26 21:00:00,Facebook,Image,Community Campaign,Brand,0,61104,52421,32773,1840.0,63,300,209
POST00209,2025-01-27 00:00:00,Instagram,Video,Community Campaign,Education,8,22634,21545,18687,1549.0,34,190,196
POST00210,2025-01-27 03:00:00,Instagram,Reel,Event Promotion,Education,16,216282,231840,185627,14140.0,179,3541,3831
POST00211,2025-01-27 06:00:00,YouTube,Text,Community Campaign,Entertainment,13,243753,188287,122257,4625.0,122,419,1103
POST00212,2025-01-27 09:00:00,Facebook,Reel,Seasonal Campaign,Entertainment,12,289432,319020,190529,8208.0,117,3023,770
POST00213,2025-01-27 12:00:00,Facebook,Reel,Event Promotion,Entertainment,12,225600,204401,133014,6359.0,247,1862,2050
POST00214,2025-01-27 15:00:00,Instagram,Video,Seasonal Campaign,Event,5,54253,49368,37916,1777.0,62,667,141
POST00215,2025-01-27 18:00:00,Facebook,Image,Brand Awareness,Brand,6,408772,478431,401519,8051.0,399,5110,9021
POST00216,2025-01-27 21:00:00,Instagram,Carousel,Festival Campaign,Community,1,47005,37409,27163,2132.0,49,104,486
POST00217,2025-01-28 00:00:00,Instagram,Image,Festival Campaign,Education,7,268583,246783,144583,9631.0,275,780,1250
POST00218,2025-01-28 03:00:00,Facebook,Carousel,Product Launch,Brand,23,331968,252494,160904,4471.0,198,2206,2143
POST00219,2025-01-28 06:00:00,Facebook,Reel,Brand Awareness,Brand,5,359846,575255,385881,26788.0,1597,2494,7433
POST00220,2025-01-28 09:00:00,Facebook,Reel,Community Campaign,Entertainment,2,244673,260521,201290,12575.0,694,1811,4658
POST00221,2025-01-28 12:00:00,Facebook,Reel,Brand Awareness,Entertainment,17,466790,340817,216870,17199.0,619,2858,4822
POST00222,2025-01-28 15:00:00,YouTube,Image,Educational Series,Brand,17,37798,19093,12064,609.0,26,101,54
POST00223,2025-01-28 18:00:00,Instagram,Reel,Festival Campaign,Entertainment,21,473928,903421,587377,20967.0,767,7886,2810
POST00224,2025-01-28 21:00:00,Instagram,Image,Community Campaign,Event,22,180373,236588,179188,9612.0,305,1818,2893
POST00225,2025-01-29 00:00:00,Instagram,Image,Seasonal Campaign,Education,5,75267,74605,53896,2742.0,109,556,750
